GeneASymbol	GeneBSymbol
ALKBH2	C12orf73
C14orf102	RCOR1
C14orf102	YY1
C14orf119	LRP10
C14orf129	GOLGA5
C14orf142	UBR7
C14orf166	CDKN3
C14orf166	EXOC5
C14orf166	MNAT1
C14orf2	PAPOLA
C15orf42	DUT
C15orf44	CLPX
AMDHD2	C16orf42
C16orf42	CD2BP2
C16orf42	PMM2
C16orf79	E4F1
C16orf80	CIAPIN1
C17orf48	ZNF18
C17orf62	FMNL1
C17orf70	MAP3K3
C17orf80	DDX42
C17orf80	RAD51C
C17orf81	GSG2
C18orf21	TXNL1
C19orf24	RNF126
C19orf29	RNF126
C19orf33	EPS8L1
C19orf40	SYMPK
C19orf43	FARSA
BCL2L12	C19orf48
C19orf48	LIG1
C19orf53	NDUFB7
C19orf6	RNF126
C1QBP	GSG2
C1orf112	CENPF
C1orf112	RFC4
C1orf112	SKP2
C1orf112	TOPBP1
C1orf210	INADL
C1orf210	TACSTD2
C1orf27	HRSP12
C1orf27	KLHL12
C1orf43	DAP3
C1orf43	NDUFS2
C1orf63	CCNL2
C20orf166	H1FNT
C20orf30	MOCS3
C21orf2	DIP2A
C2CD2L	HMBS
C2orf28	PDIA6
C4orf27	NEK1
C5orf22	RAD1
C5orf54	TRIM23
C6orf115	REPS1
ANXA9	C6orf132
C6orf132	S100A14
C6orf132	TEAD3
ADAT2	C6orf162
C7orf26	POM121
C7orf42	TYW1
C7orf50	RAC1
C8orf38	CCNE2
C8orf76	DSCC1
C8orf76	WDR67
C9orf23	SIGMAR1
C9orf46	JAK2
C9orf78	POLE3
C9orf80	PDCL
C9orf86	MRPS2
CA4	KCNH6
CABIN1	GGA1
CABIN1	PLA2G6
CAMK2N1	PTPRF
CAP2	CFL2
BRMS1	CAPN1
CAPN1	CST6
CAPN1	MAP3K11
CAPN1	NADSYN1
CAPN1	OTUB1
CAPN7	LSM3
CAPRIN1	CKAP5
CARS2	TFDP1
CASC3	NKIRAS2
CASP2	EZH2
CASP2	LUC7L2
CASP2	ZNF212
CASP2	ZNF282
CASP8AP2	HDAC2
CASP8AP2	SENP6
CASQ1	OR10J1
ANLN	CAV1
CAV1	FAM20C
CAV1	STEAP1
CAV2	INHBA
BUD13	CBL
CBLC	MYH14
CBLL1	SLC25A40
CC2D1A	HAMP
CC2D1A	RAD23A
CC2D1A	ZNF787
CCAR1	ZNF37A
CCDC101	PRR14
CCDC117	MSL2
CCDC124	FARSA
CC2D1A	CCDC130
CCDC130	STRN4
CCDC22	PQBP1
CCDC90A	NUP153
CCDC94	MBD3
CCNA2	CENPE
CCNA2	MAD2L1
CCNB1	CDC25C
C14orf93	CCNB1IP1
CCNE2	GMNN
CCNE2	MCM3
CCNE2	TCF19
CCNE2	TOP2A
CCNF	E4F1
CCNH	PTCD2
CCNH	RARS
CCNH	SNX2
CCNH	TAF9
CCNL1	MBD4
CCNL1	TBL1XR1
CCT2	TFCP2
CCT3	USP21
CCT4	PRKRA
CCT4	SSB
CCT5	PSMD12
ADIPOR1	CD46
CD46	ELF3
CD46	FZD6
CD46	PTK2
CD46	SRP9
CD48	TNFAIP8L2
CDC20	RAD54L
CDC20	STIL
CDC27	UTP18
CDC37	FARSA
CDC37L1	JAK2
BUB1	CDC45
CDC45	POLQ
CDC5L	NMD3
CDC6	SPAG5
CDC7	PTBP2
CDC7	STIL
CDC7	CDCA8
CDCA8	FAF1
CDCA8	ITGB3BP
CDCA8	POLQ
CDCA8	PPIH
CDK1	HNRNPF
CDK17	SCYL2
C20orf4	CDK5RAP1
CDK5RAP1	DHX35
CDK7	GDE1
CDK7	RARS
CDK7	TAF9
CDK7	XRCC4
CDK9	FPGS
CDKAL1	MDC1
CDKN3	TRMT5
CDKN3	VRK1
BTC	CDS1
CDS1	SHROOM3
AIF1	CDSN
CELF3	CYP11B2
CELF3	HRH3
CENPA	CENPO
CENPA	ECT2
CENPC1	ELF2
CENPC1	LARP7
CENPC1	LSM6
CENPC1	MAD2L1
CENPF	MDC1
CENPM	L3MBTL2
C16orf61	CENPN
CENPT	TAF1C
CEP192	THOC1
CEP350	MDM4
CEP55	KIF20B
BUD13	CEP57
CEP57	CHEK1
CEP76	MSH2
CETN3	TAF9
CFL1	FAM89B
CFL2	PRKD1
CFL2	PTPN21
CGGBP1	NR2C2
CGN	ELF3
CHAF1A	PIN1
CHAF1A	SLC39A3
CHCHD1	HSPA14
CHCHD3	PAXIP1
AKAP8	CHERP
ATP13A1	CHERP
CHERP	CNOT3
CHERP	FARSA
CHERP	GTPBP3
CHERP	TNPO2
CHERP	UPF1
CHMP4C	IRF6
CHMP5	NMD3
CHMP5	SENP2
CHMP7	CNOT7
CHMP7	ELP3
CHRNA5	PTPLAD1
CIAPIN1	COX4NB
CIC	IRF2BP1
CIC	MARK4
BRCA2	CKAP2
CELF1	CKAP5
CDC42EP2	CLCF1
CLCN7	RNF40
CLCN7	ZNF500
ABCC3	CLDN1
CLDN1	ITGB4
CLDN3	CLDN4
CLDN4	SLPI
CLDND1	DLG1
CLDND1	SLC35A5
CLIC3	PTGES
CLIC4	TAF12
CLINT1	NUDT21
CLIP1	TWF1
CLIP3	PNMAL1
CLIP4	OSMR
CLIP4	RND3
ARNT	CLK2
CLK2	PTCD3
CLPP	CSNK1G2
CLPP	KHSRP
CLPP	POLR2E
CMAS	DNM1L
CMAS	MAPRE1
CMAS	TBL1XR1
CMPK1	GPBP1L1
CMTM4	ELMO3
CNBP	IL20RB
CNBP	MAPK1
CNBP	MSL2
CNBP	PSMD12
CNBP	TSN
CNBP	UGP2
CNIH4	FH
CNOT1	MON1B
CNOT3	FIZ1
CNOT3	IRF3
CNOT3	PNKP
CNOT3	PPP2R1A
CNOT3	TRIM28
CNOT3	ZNF574
CNOT4	LUC7L2
CNOT4	ZNF212
CNOT8	SKIV2L2
COBRA1	GTF3C5
COG2	ZNF672
COIL	MED1
APPL2	COMMD10
COMMD10	GIN1
COMMD10	MAPK9
COMMD10	MATR3
COMMD10	RARS
B4GALT4	COPB2
COPB2	GFPT1
COPB2	SENP2
ARPC5	COPS5
ATP6V1C1	COPS5
COPS5	HRSP12
COPS5	IMPAD1
COPS5	MAPRE1
COPS5	POLR2K
COPS8	DGUOK
COPS8	LANCL1
COPS8	MYEOV2
COPS8	PRKD3
COPS8	RNF25
CORO1B	RAB1B
COX4I1	TRAPPC2L
COX5A	MRPL46
COX6C	UQCRB
CPN2	TACR1
ADNP	CPNE1
CPNE1	HSP90AB1
CPNE1	RANBP2
ADRBK1	CPSF7
CPSF7	DDB1
CPSF7	MEN1
CPSF7	NAA40
CPSF7	PRPF19
CPSF7	RBM14
CPSF7	SF3B2
CRAMP1L	USP7
CRBN	TOP2B
CRBN	WDR48
CREB1	GTF3C3
CALU	CREB3L2
CREBZF	SPCS2
CRLS1	ITPA
CROCC	UBR4
CSH1	KCNH6
CSH1	SGCA
CSH1	ST8SIA3
CSH2	SLAMF1
CSH2	TACR1
CD84	CSHL1
CHRNA4	CSHL1
CSHL1	EPHB1
CSHL1	FCGR3A
CSHL1	FCGR3B
CSHL1	LY9
CSHL1	MAPK4
CSHL1	SLAMF1
CSNK1G2	MBD3
CSNK1G2	PIAS4
CSNK1G2	PIP5K1C
CSNK1G2	POLRMT
CSNK1G2	RNF126
CSNK1G2	SLC39A3
CSNK1G2	TYK2
CSNK1G3	GIN1
CSNK2A1	ZCCHC3
CSPP1	RBM12B
CD63	CST3
CST6	RHOD
CTBP2	TCF7L2
CTNNA1	GNS
CTNNA1	MGAT4B
CTNNBL1	DHX35
CDC7	CTPS
CTR9	PSMA1
CTSA	GNS
CCND1	CTTN
CD59	CTTN
CTTN	LRP10
CTTN	PPFIA1
CTTN	PRSS23
CTTN	TWF1
COX4NB	CTU2
CUL3	NCL
CUL9	EHMT2
CWC27	TAF9
CWF19L2	ZNF202
CXCL13	DMP1
CXorf40B	IDH3G
CYB561	EFNA1
CYB561	FOXA1
ADIPOR1	CYB5R1
CYB5R4	TAB2
CYBASC3	TMEM138
CYC1	MRPL13
CYCS	SNX13
CD63	DAB2
DAD1	TMED10
DAP3	MRPL9
DARS2	HRSP12
DARS2	MRPL13
DARS2	NDUFB5
DARS2	SENP2
DAXX	E2F3
DAZAP1	KDM4B
DAZAP1	NCLN
DAZAP1	RNF126
DBF4	EZH2
DBF4	POP7
DBF4	SLC25A40
DBNL	YKT6
DCAF11	L2HGDH
DCAF11	RBM23
ATP13A1	DCAF15
DCAF15	E2F1
DCAF15	FARSA
DCAF15	ILF3
DCAF15	RAVER1
DCAF15	UPF1
DCAF15	ZNF787
DCK	ELF2
CDCA8	DCLRE1B
DCLRE1C	MLLT10
DCLRE1C	ZNF33A
DCTN4	RIOK2
DCTN4	YAF2
DCTPP1	TMEM186
CUL4A	DCUN1D2
DDB1	MEN1
CENPB	DDRGK1
DDX1	PSMD12
ACAT1	DDX10
BUD13	DDX10
DDX11	RBL1
DDX18	HSPD1
DDX18	SSB
DDX18	XRCC5
DDX21	MRPS16
DDX23	TROAP
DDX28	USP10
DDX28	ZNF276
DDX41	TCOF1
BPTF	DDX42
DCAF7	DDX42
DDX47	YARS2
DDX49	UPF1
DDX50	HNRNPH3
DDX50	NSMCE4A
DDX51	PUS1
DDX54	OGFOD2
DDX55	RFC5
ARNT	DEDD
DEDD	USP21
CACNG6	DEFB118
DEFB118	GLP1R
DEFB118	HOXB1
ARPC5	DEGS1
DEK	SMC4
DENND1C	VAV1
DENND4B	E2F3
DEPDC1	RAD54L
DERL1	RNF139
DERL1	SENP2
DGCR14	ZC3H7B
CDKN2D	DHPS
DHX29	MOCS2
DHX29	NDUFS4
DHX29	TAF9
DHX34	EXOSC5
DHX34	STRN4
DHX34	ZNF574
ADNP	DIDO1
DIRC2	GPRC5A
DIS3L	PARP16
BUD13	DLAT
DLD	LUC7L2
DLD	SLMO2
DAZAP2	DLG1
DLG1	UBXN4
BAG3	DLG5
DMKN	PPP1R13L
DNA2	MKI67
CYR61	DNAJB4
CALU	DNAJB6
DNAJC21	RAD1
DNAJC30	FASTK
DNASE1L2	E4F1
DNASE1L2	LUC7L
DNM1L	TBL1XR1
DNMT1	GTPBP3
DNMT1	RANBP3
ASPH	DOCK5
DOLPP1	GTF3C5
DPAGT1	SLC37A4
DPH2	PPIH
DPM1	MOCS3
ATP6V1C1	DPY19L4
DPY19L4	PTK2
DPYSL2	PNMA2
CD59	DRAP1
DRG1	L3MBTL2
DRG1	SF3A1
BIRC5	DSCC1
DSCC1	MCM3
DSCC1	PCNA
DSCC1	TRA2B
DSN1	TIMELESS
DSP	F11R
ARPC1A	DSTN
ASPH	DSTN
DSTN	KDELR2
DSTN	PTK2
DSTN	RHEB
CCNE2	DTL
DTL	HNRNPU
DTL	RFC4
DTL	TOPBP1
DTL	ZNF672
DTNBP1	NUP153
DUS1L	ICT1
DUS3L	HNRNPM
DUS3L	RNF126
DUSP14	PTRF
BCL2	DYM
DYM	TXNL1
E2F1	H1FX
E2F1	MCM7
E2F1	TUBA1B
E2F1	UBE2C
CDC7	E2F2
E4F1	MAZ
E4F1	SOLH
E4F1	USP7
E4F1	ZNF500
EAF1	TOP2B
EAF1	WDR48
EAPP	FBXO34
ECD	GLRX3
ECSIT	WDR83
ECT2	RACGAP1
EDC4	KARS
EDC4	TERF2
EDC4	ZNF335
EEF1D	PYCRL
EEF1E1	NMD3
CRIM1	EFEMP1
EFEMP1	OSMR
CGN	EFNA1
EFNB2	KLF5
AATF	EFTUD2
CTTN	EGFR
EGFR	OSMR
CAPN1	EHBP1L1
CAPN1	EHD1
EHF	RHOD
EHMT1	GTF3C5
EHMT2	LY6G5B
EHMT2	TRIM27
EIF2B1	GPN3
CYC1	EIF2C2
EIF2C2	RAD21
EIF2S3	MBTPS2
DDX56	EIF3B
EIF3B	HEATR2
EIF3B	TBRG4
EIF3H	UBR5
EIF3K	EXOSC5
EIF3K	RPS11
EIF5	ZFYVE21
ELAVL1	HNRNPM
C1orf106	ELF3
ASNA1	ELOF1
ELOF1	FARSA
ELOVL1	PLEC
BIN3	ELP3
CNOT7	ELP3
ELP3	TRIM35
EMD	IDH3G
EML3	MAP3K11
EMP1	FHL2
EMP1	HEBP1
EMP1	RAB11FIP5
EMP1	TNFRSF1A
ENO1	TMED5
ENO2	STX2
ENOPH1	HNRNPD
ENY2	HRSP12
EPAS1	LAPTM4A
EPHA1	TINAGL1
EGFR	EPHB2
C1orf116	EPN3
EPN3	LAMA5
EPS15L1	TNPO2
EPS8	TWF1
ERBB2	SLC16A5
ERCC8	SKIV2L2
ERGIC2	STRAP
ERGIC3	PIGT
ERLIN1	VPS26A
ESPL1	RACGAP1
ESPL1	SENP1
ESR1	GCM2
ESRP1	KCNK1
ESRP1	MAL2
ESRP1	S100A14
CDH3	ESRP2
CCNE2	EXO1
EXO1	KIF14
DHRS7	EXOC5
EXOG	RBM5
EXOG	WDR48
CWF19L1	EXOSC1
CENPE	EXOSC9
EXOSC9	MAD2L1
EFEMP1	EXT1
DNAJC8	EYA3
EZH1	SYNRG
EZH2	LUC7L2
EZH2	ZNF212
C1orf106	F11R
CD2AP	F11R
F11R	GRHL2
EGFR	F3
F3	GBP3
FAF1	ITGB3BP
FAM173A	MPG
FAM173A	STUB1
CLK4	FAM193B
FAM193B	MAPK8IP3
FAM3A	IKBKG
FAM58A	NSDHL
BUD13	FAM76B
FAM76B	HINFP
ANXA9	FAM83H
CGN	FAM83H
F11R	FAM83H
EVPL	FAM84B
FAM91A1	RNF139
FANCG	VCP
CCNB2	FANCI
FANCI	RFC4
FANCL	MSH2
FANCM	L2HGDH
ATP13A1	FARSA
FARSA	ILF3
FARSA	PIN1
FARSA	TNPO2
FARSA	UPF1
FASTK	GNB2
FASTKD2	HSPE1
FASTKD3	MTRR
FASTKD5	ITPA
FBL	MCM2
FBL	PRMT1
FBL	RUVBL2
FBRS	PRR14
FBRS	SETD1A
FBRS	ZNF646
FBRS	ZNF768
FBXL18	RAC1
FBXL19	FUS
FBXL6	RECQL4
ATP5C1	FBXO18
FBXO18	KIN
FBXO28	HRSP12
FBXO46	VRK3
EDF1	FBXW5
FCAR	HAMP
FCAR	KLK2
FCAR	LILRB3
ASNA1	FDX1L
FDXACB1	HMBS
CLDN4	FERMT1
FERMT1	KLF5
ACTN1	FERMT2
EML1	FERMT2
C6	FETUB
CDS1	FGFBP1
FH	HRSP12
FHL2	RALB
FIZ1	TRIM28
ATP13A1	FKBP8
FKBP8	PRKCSH
FLAD1	NDUFS2
FLJ23867	S100A16
AMOTL2	FNDC3B
FNDC3B	IL1R1
FNDC3B	LEPREL1
FNDC3B	OSMR
FNDC3B	TNFRSF1A
FNTA	GOLGA7
FNTA	THAP1
FNTA	UBE2V2
FNTA	VDAC3
CD59	FOSL1
FOXA1	GPX2
FOXJ3	GPBP1L1
E2F1	FOXM1
ASF1A	FOXO3
ACAD8	FOXRED1
FOXRED2	L3MBTL2
DCBLD2	FSTL1
CNPY3	FTSJD2
FUBP1	PTBP2
FUBP1	SFPQ
FXR2	RNF167
EPS8L1	FXYD3
FXYD3	STX19
ARFGEF1	FZD6
DLG1	FZD6
FZR1	RNF126
G3BP2	LARP7
G3BP2	RCHY1
AQR	GABPB1
GABPB1	RFX7
GADD45GIP1	NDUFA11
GADD45GIP1	NDUFB7
GATAD1	KRIT1
GATAD2B	MDM4
GATC	RFC5
GATC	SNRPF
BCAR3	GBP3
EGFR	GBP3
GCDH	GTPBP3
GCFC1	HMGN1
ARPC5	GDE1
GDE1	IARS2
FAM50A	GDI1
GDI2	RAB23
GDI2	SRP9
GEMIN6	MRPS7
BCL2L12	GEMIN7
AMDHD2	GFER
GFER	MLST8
GFM2	TAF9
GFPT2	OSMR
GGA1	L3MBTL2
GGA1	TRMT2A
GGA3	TAOK1
CRP	GH2
GIN1	PRKAA1
GIN1	YAF2
BUB1	GINS1
CCNE2	GINS1
GINS1	MYBL2
GINS1	UBE2C
GIPC1	NR2F6
GIT1	TCAP
GIT1	USP36
CLDN1	GJB3
GLE1	POLE3
GLE1	SPTLC1
GLMN	RPAP2
GLP1R	SLC22A7
ALDH18A1	GLRX3
CWF19L1	GLRX3
DDX24	GLRX5
GLRX5	PAPOLA
GLTSCR2	MZF1
GLTSCR2	SNRPA
GLTSCR2	VRK3
GLUD1	PPA1
GMNN	MDC1
GMNN	PARP1
GNA11	ZNF358
GNAI3	ILF2
GNAI3	RWDD3
GNB2L1	NOP16
F3	GNG12
GNG12	LEPROT
GNG12	NOTCH2
GNL1	MRPL2
GNL2	PPIH
FH	GNPAT
GNPDA1	MGAT4B
ATP6V1C1	GNS
DAB2	GNS
GNS	ITFG1
GNS	SQSTM1
ASH2L	GOLGA7
GPATCH1	STRN4
EXOC5	GPHN
CCDC59	GPN3
GPS1	MRPS7
GPS2	PHF23
AIF1	GPSM3
GLT8D2	GPX8
GPX8	NUAK1
GPX8	PAM
GPX8	SNX24
GPX8	TGFBI
GPX8	TNFRSF1A
EGFR	GRAMD3
ERBB2	GRB7
GRB7	GRHL2
GRB7	ITGB4
GRHL2	ITGB4
GRHL2	S100A14
GRHL2	STX19
CLDN4	GRTP1
GRTP1	KLF5
GSPT1	USP7
GSTK1	SLC12A9
CSNK1G2	GTF2F1
GTF2F1	KHSRP
GTF2F1	POLR2E
CAPRIN1	GTF2H1
GTF2H1	PSMC3
E4F1	GTF3C1
GTF3C1	ZNF500
CWC22	GTF3C3
GTF3C3	PMS1
GTF3C3	RAB1A
GTPBP1	TRMT2A
GTPBP3	ILF3
GTPBP4	SUV39H2
GTPBP4	UPF2
GTSE1	KIAA1524
GTF2I	H2AFV
H2AFX	MLL
H3F3B	TIA1
CCDC138	HAT1
HAT1	MSH6
HAT1	PNO1
HAUS1	TXNL1
C14orf93	HAUS4
HAUS5	LIG1
HAUS5	MAP4K1
HAUS5	MCM3
HAUS5	POLQ
HAUS6	PSIP1
EMD	HAUS7
HAUS8	MED26
HBP1	UBE2H
HCCS	MBTPS2
HDDC3	MRPL46
HDGFRP2	PIN1
HDHD2	TXNL1
HEG1	OSMR
DAB2	HEXB
HEXB	IL6ST
HEXB	MGAT4B
HEXDC	MBTD1
GGA3	HGS
HGS	SLC38A10
HAMP	HHLA2
HIST1H2AE	HIST1H2AK
HIST1H2AE	HIST1H2AM
HIST1H1C	HIST1H2BD
HIST1H1C	HIST1H2BE
HIST1H2BE	HIST1H3E
HIST1H1C	HIST1H2BF
HIST1H2BF	HIST1H3E
HIST1H1C	HIST1H2BG
HIST1H1C	HIST1H2BH
HIST1H1C	HIST1H2BI
HIST1H3B	HIST1H4F
HIST1H3D	HIST1H3E
HIST1H2AJ	HIST1H4A
HIST1H3E	HIST1H4A
HIST1H3I	HIST1H4A
HIST1H3J	HIST1H4A
HIST1H4A	HIST1H4B
HIST1H4A	HIST1H4D
HIST1H4A	HIST1H4F
HIST1H4A	HIST1H4I
HIST1H4A	HIST1H4L
HIST1H3E	HIST1H4E
HIST1H4E	HIST1H4F
HIST1H1C	HIST1H4H
HIST1H3E	HIST1H4H
HLA-DOA	SLC22A7
HLA-E	TAP2
HLA-F	HLA-G
HMBS	SLC37A4
CTCF	HMGB1
GTF3A	HMGB1
HMGB1	MYBL2
CDC25C	HMMR
HNF4A	TSPO2
HNRNPA0	LMNB1
HNRNPA2B1	TPX2
C14orf166	HNRNPC
EXOC5	HNRNPC
CENPE	HNRNPD
GDI2	HNRNPF
HNRNPH3	KIF11
AKAP8	HNRNPM
CHAF1A	HNRNPM
HNRNPM	NUP62
HNRNPM	POLD1
GRWD1	HNRNPUL1
HNRNPUL1	SAE1
HNRNPUL1	SPHK2
HNRNPUL1	TACR1
HNRNPUL1	ZNF611
HNRNPD	HNRPDL
HOXA10	HOXA9
GH1	HOXB1
HOXB5	HOXB7
HOXC10	HOXC9
HOXC6	HOXC8
HOXC8	HOXC9
FOXN4	HRH3
C20orf30	HRSP12
HRSP12	SRP9
HSF1	RECQL4
GMIP	HSH2D
HSP90AB1	SLC29A1
HSPA14	NUDT5
HSPA4	RAD50
HSPA4	TTC37
HSPA4	YAF2
HSPBP1	TRIM28
HEBP1	HTR7P1
HUS1	YKT6
FH	IARS2
IARS2	KLHL12
IARS2	MRPL13
IER3IP1	TXNL1
IGFBP3	OSMR
C1R	IGFBP6
IGSF9	MAL2
IKZF5	NSMCE4A
IL13RA1	PLS3
CXorf65	IL2RG
IL12B	IL3
IL3	SIGLEC8
ARFGEF1	ILF2
BRIX1	ILF2
CCT5	ILF2
HRSP12	ILF2
ILF2	MRPL13
ILF2	POLR3C
ILF2	RCOR3
ILF2	TAF1A
ILF3	RAVER1
ILF3	SNRPA
INADL	TACSTD2
ING1	TFDP1
ING3	LUC7L2
INHBA	OSMR
INO80E	PRR14
BRD9	INTS1
HMBOX1	INTS10
INTS12	USO1
COIL	INTS2
INTS5	MAP3K11
INTS5	SF1
IQCE	RAC1
IDH3G	IRAK1
IKBKG	IRAK1
IREB2	RFX7
IREB2	SLTM
IRF2BP1	SPHK2
IRF6	SOX13
IRF9	PSME1
IRX3	IRX5
ISCA1	SPTLC1
ISG20L2	MRPL9
DNAJB6	ITCH
ITCH	TBL1XR1
ITCH	UBE2H
ITFG1	MBTPS1
ITGA3	PTRF
ITGAL	TPSAB1
CDC7	ITGB3BP
ITGB3BP	PRPF38A
ITGB5	NCEH1
JAGN1	THUMPD3
JTB	MRPL9
GRB7	JUP
KARS	NAE1
KBTBD6	KBTBD7
KCNJ5	SLC22A6
AXIN1	KCTD13
KCTD13	ZNF668
KCTD2	RECQL5
KCTD20	RAB23
CALU	KDELR2
KDELR2	OSMR
CDK2AP2	KDM2A
KDM2A	PTPRCAP
KDM6B	WRAP53
KHDRBS2	MYH7
CSNK1G2	KHSRP
HNRNPM	KHSRP
ILF3	KHSRP
KIAA0195	RECQL5
KIAA0664	MINK1
KIAA0664	RNF167
KIAA1279	5-Mar
EGFR	KIAA1522
INADL	KIAA1522
KIAA1522	RHBDL2
KIAA1522	SLC2A1
KIAA1522	TINAGL1
CNOT7	KIAA1967
AK3	KIAA2026
KIAA2026	PSIP1
KIF1B	RNF11
KIF1B	SKI
KIF1C	MINK1
CDC25C	KIF20A
HMMR	KIF20A
CWC27	KIF2A
FAF1	KIF2C
KHDRBS1	KIF2C
KIF2C	PPIH
E2F3	KIFC1
KIFC1	TUBB
KIR2DL1	KIR2DL3
KIR2DL3	KIR2DL4
KLC3	KLK5
AHR	KLF5
ID1	KLF5
KLK10	KLK11
KLK10	KLK7
KLK10	KLK8
KLK10	KLK9
KLK5	KLK6
EPS8L1	KLK6
KLK6	KLK7
KLK8	KLK9
ESPL1	KNTC1
KNTC1	NFYB
KNTC1	SBNO1
ASF1A	KPNA5
KPTN	STRN4
AKAP8L	KRI1
C19orf43	KRI1
HNRNPM	KRI1
KRIT1	PEX1
KRIT1	ZKSCAN5
ITGB4	KRT19
JUP	KRT19
ACO2	L3MBTL2
L3MBTL2	TRMT2A
LAMA5	SLPI
CALU	LAMB1
ASPH	LAMC1
LAMC1	NOTCH2
EPCAM	LAMC2
F11R	LAMC2
ASAP2	LAPTM4A
FBXO18	LARP4B
LARP4B	MLLT10
C4orf21	LARP7
CCNG2	LARP7
HMGN1	LARP7
INTS12	LARP7
LARP7	NUP54
LARP7	RAB28
ABCC3	LASP1
LATS1	NUP43
LCP2	PKD2L2
LEMD3	ZBTB39
AIF1	LENEP
AQR	LEO1
LEPREL1	PPP2R3A
EGFR	LEPROT
LEPROT	NOTCH2
LEPROT	PIGK
ATP6V1B2	LEPROTL1
ABCC3	LGALS3BP
LILRA1	LILRB1
KIR2DL1	LILRA2
KLK2	LILRA2
LILRA2	LILRB1
LIMD2	MAP3K3
CPSF1	LIME1
LIN37	POLR2I
LIN37	U2AF1L4
FXYD3	LIPH
EPCAM	LLGL2
CCT2	LLPH
LOC100128822	MLL3
BCL2	LOC400657
ERI2	LOC81691
KIF14	LOC81691
LOC81691	NEK2
LOXL2	MYBL1
AMOTL2	LPP
CD63	LPP
EMP1	LPP
LPP	OSMR
LPP	WWTR1
HIPK1	LRIG2
LRP10	SERPINB6
AKT3	LRP12
DDR1	LRRC16A
LRRC37A3	SMARCE1
LSG1	MRPL47
LSM14A	MSL2
LSM14A	ZNF146
CNOT10	LSM3
LSM3	MRPS25
LSM3	THUMPD3
LSM7	RNF126
LSMD1	WRAP53
GPRC5A	LSR
LSR	STX19
ANXA4	LTBR
GPRC5A	LTBR
HEBP1	LTBR
CBLL1	LUC7L2
LUC7L2	ZNF212
DCAF7	LUC7L3
LY6K	OSMR
AIF1	LY86
LZTR1	TRMT2A
AGR2	MACC1
CDH1	MACC1
CLDN4	MACC1
CPSF1	MAF1
LEP	MAG
MAGOH	PPIH
MAK16	UBXN8
ANXA9	MAL2
ELF3	MAL2
KCNK1	MAL2
LAD1	MAL2
FLNA	MAMLD1
ATP13A1	MAN2B1
MANBAL	RIN2
ATP13A1	MAP1S
MAP1S	PGLS
MAP1S	RAVER1
GLOD4	MAP2K4
MAP2K4	PRPSAP2
FAM89B	MAP3K11
MAP3K11	PITPNM1
MAP4K5	MNAT1
MAPK1	UFD1L
MAPK8IP3	USP7
CANX	MAPK9
CCT5	MAPRE1
CPNE1	MAPRE1
DNAJB6	MAPRE1
MAPRE1	RPS6KB1
ERLIN1	5-Mar
BCS1L	MARS2
HNRNPH1	MATR3
MATR3	PPWD1
MATR3	RIOK2
MAZ	MLST8
HDHD2	MBD1
CDC34	MBD3
DNM2	MBD3
MBD3	MLLT1
MBD3	NCLN
MBD3	PIAS4
MBD3	PIP5K1C
MBD3	POLD1
MBD3	POLR2E
MBD3	RNF126
MBD3	SLC39A3
MBD3	USF2
MBD4	SNX4
MBTD1	POU2F1
MBTD1	PPM1D
MBTD1	ZNF397
DNAJA2	MBTPS1
GMNN	MCM10
KIF11	MCM10
MCM10	MCM3
MCM10	TRA2B
MCM2	RAD54L
L3MBTL2	MCM5
MCM5	TRMT2A
CASP2	MCM7
LUC7L2	MCM7
CNOT7	MCPH1
HMBOX1	MCPH1
MCPH1	WRN
MCRS1	TROAP
MDC1	PARP1
HSPD1	MDH1
MDM4	PDE7A
MDM4	RAB3GAP2
MDM4	TOMM20
HDHD2	ME2
ME2	TXNL1
MEAF6	SNIP1
DDX42	MED1
MED1	POU2F1
DCAF7	MED13
MED15	TRMT2A
CDC34	MED16
KDM4B	MED16
MED16	NCLN
MED16	PIP5K1C
MED16	POLRMT
MED16	UPF1
MED17	TMEM126B
MED18	TAF12
ATP6V1C1	MED21
CMAS	MED21
MED21	TBL1XR1
GTPBP3	MED26
ILF3	MED26
MED26	RAB8A
MED26	RAVER1
MED26	TNPO2
MED4	RB1
C14orf166	MED6
MED6	PAPOLA
HSPA4	MED7
MED7	RNF14
MELK	VCP
MEN1	UBXN1
GPRC5A	MET
MET	PRKAG2
MET	UBE2H
FANCM	METTL3
DYNC1LI1	METTL6
DCUN1D1	MFN1
DNAJC10	MFN1
ITCH	MFN1
MFN1	SENP2
MFN1	TFG
MFSD5	SQSTM1
MGAT4B	TBC1D9B
MGC16275	TAOK1
BCKDK	MGRN1
DNASE1L2	MGRN1
FAM193B	MGRN1
MGRN1	ZNF500
MIB1	ZNF24
MICB	TAP1
CDC34	MIER2
MIER2	PIP5K1C
KIF20B	MKI67
MKKS	NAA20
CNOT4	MKLN1
LUC7L2	MKLN1
DYNC1LI1	MKRN2
LSM3	MKRN2
MKRN2	NR2C2
CCDC12	MLH1
DYNC1LI1	MLH1
MLL2	SUDS3
EZH2	MLL3
MLL3	ZNF212
KRIT1	MLL5
MMADHC	RALB
MMADHC	UBXN4
MNAT1	PAPOLA
MINK1	MNT
MOCS3	OSGEPL1
MORF4L2	PSMD10
MOSPD3	TAF6
MPHOSPH8	MYCBP2
